T A_init L S Dead Code
10 0.000000 0 0 1024 0
10 5.000000 1007 0 17 2
10 10.000000 1005 0 19 2
10 15.000000 1009 0 15 2
10 20.000000 999 0 25 2
10 25.000000 1001 0 23 2
10 30.000000 1003 0 21 2
10 35.000000 996 0 28 2
10 40.000000 996 0 28 2
10 45.000000 997 0 27 2
10 50.000000 997 0 27 2
20 0.000000 0 0 1024 0
20 5.000000 1012 0 12 2
20 10.000000 992 0 32 2
20 15.000000 1009 0 15 2
20 20.000000 998 0 26 2
20 25.000000 1007 0 17 2
20 30.000000 997 0 27 2
20 35.000000 999 0 25 2
20 40.000000 1005 0 19 2
20 45.000000 1012 0 12 2
20 50.000000 1009 0 15 2
30 0.000000 0 0 1024 0
30 5.000000 994 0 30 2
30 10.000000 1007 0 17 2
30 15.000000 996 0 28 2
30 20.000000 999 0 25 2
30 25.000000 1001 0 23 2
30 30.000000 1004 0 20 2
30 35.000000 997 0 27 2
30 40.000000 1009 0 15 2
30 45.000000 1005 0 19 2
30 50.000000 994 0 30 2
40 0.000000 0 0 1024 0
40 5.000000 968 33 23 1
40 10.000000 924 80 20 1
40 15.000000 914 89 21 1
40 20.000000 966 43 15 1
40 25.000000 912 96 16 1
40 30.000000 888 122 14 1
40 35.000000 912 98 14 1
40 40.000000 899 106 19 1
40 45.000000 922 73 29 1
40 50.000000 925 79 20 1 
50 0.000000 0 0 1024 0
50 5.000000 774 223 27 1
50 10.000000 737 262 25 1
50 15.000000 757 246 21 1
50 20.000000 744 257 23 1
50 25.000000 760 238 26 1
50 30.000000 769 241 14 1
50 35.000000 790 205 29 1
50 40.000000 754 243 27 1
50 45.000000 787 213 24 1
50 50.000000 773 228 23 1
100 0.000000 0 0 1024 0
100 5.000000 467 542 15 1
100 10.000000 529 466 29 1
100 15.000000 492 509 23 1
100 20.000000 536 472 16 1
100 25.000000 484 519 21 1
100 30.000000 461 540 23 1
100 35.000000 443 560 21 1
100 40.000000 463 542 19 1
100 45.000000 491 512 21 1
100 50.000000 459 539 26 1
150 0.000000 0 0 1024 0
150 5.000000 555 449 20 1
150 10.000000 557 447 20 1
150 15.000000 573 429 22 1
150 20.000000 589 416 19 1
150 25.000000 532 468 24 1
150 30.000000 560 439 25 1
150 35.000000 542 454 28 1
150 40.000000 588 421 15 1
150 45.000000 555 455 14 1
150 50.000000 549 449 26 1
200 0.000000 0 0 1024 0
200 5.000000 185 814 25 1
200 10.000000 192 813 19 1
200 15.000000 207 790 27 1
200 20.000000 180 825 19 1
200 25.000000 199 805 20 1
200 30.000000 175 834 15 1
200 35.000000 156 838 30 1
200 40.000000 202 795 27 1
200 45.000000 160 841 23 1
200 50.000000 187 819 18 1
250 0.000000 0 0 1024 0
250 5.000000 132 870 22 1
250 10.000000 112 893 19 1
250 15.000000 124 877 23 1
250 20.000000 91 910 23 1
250 25.000000 119 892 13 1
250 30.000000 129 876 19 1
250 35.000000 95 912 17 1
250 40.000000 115 895 14 1
