T A_init L S Dead Code 
50 0.000000 0 0 1024 0
50 5.000000 1007 0 17 2
50 10.000000 1006 0 18 2
50 15.000000 1009 0 15 2
50 20.000000 1005 0 19 2
50 25.000000 1010 0 14 2
50 30.000000 1000 0 24 2
50 35.000000 1003 0 21 2
50 40.000000 1004 0 20 2
50 45.000000 1010 0 14 2
50 50.000000 1007 0 17 2
100 0.000000 0 0 1024 0
100 5.000000 1012 0 12 2
100 10.000000 996 0 28 2
100 15.000000 1003 0 21 2
100 20.000000 1001 0 23 2
100 25.000000 997 0 27 2
100 30.000000 1010 0 14 2
100 35.000000 1005 0 19 2
100 40.000000 1004 0 20 2
100 45.000000 1005 0 19 2
100 50.000000 1005 0 19 2
150 0.000000 0 0 1024 0
150 5.000000 996 0 28 2
150 10.000000 1003 0 21 2
150 15.000000 1006 0 18 2
150 20.000000 1003 0 21 2
150 25.000000 1006 0 18 2
150 30.000000 999 0 25 2
150 35.000000 1006 0 18 2
150 40.000000 1000 0 24 2
150 45.000000 999 0 25 2
150 50.000000 998 0 26 2
200 0.000000 0 0 1024 0
200 5.000000 1011 0 13 2
200 10.000000 996 0 28 2
200 15.000000 999 0 25 2
200 20.000000 1005 0 19 2
200 25.000000 1004 0 20 2
200 30.000000 999 0 25 2
200 35.000000 995 0 29 2
200 40.000000 998 0 26 2
200 45.000000 998 0 26 2
200 50.000000 999 0 25 2
250 0.000000 0 0 1024 0
250 5.000000 995 0 29 2
250 10.000000 1009 0 15 2
250 15.000000 1000 0 24 2
250 20.000000 1001 0 23 2
250 25.000000 996 0 28 2
250 30.000000 1004 0 20 2
250 35.000000 991 0 33 2
250 40.000000 998 0 26 2
250 45.000000 1002 0 22 2
250 50.000000 997 0 27 2
300 0.000000 0 0 1024 0
300 5.000000 1009 0 15 2
300 10.000000 1010 0 14 2
300 15.000000 1003 0 21 2
300 20.000000 1005 0 19 2
300 25.000000 1007 0 17 2
300 30.000000 1007 0 17 2
300 35.000000 1006 0 18 2
300 40.000000 996 0 28 2
300 45.000000 1002 0 22 2
300 50.000000 997 0 27 2
350 0.000000 0 0 1024 0
350 5.000000 986 0 38 2
350 10.000000 999 0 25 2
350 15.000000 995 0 29 2
350 20.000000 999 0 25 2
350 25.000000 1000 0 24 2
350 30.000000 1003 0 21 2
350 35.000000 1004 0 20 2
350 40.000000 999 0 25 2
350 45.000000 1000 0 24 2
350 50.000000 1004 0 20 2
400 0.000000 0 0 1024 0
400 5.000000 974 0 50 2
400 10.000000 1000 0 24 2
400 15.000000 1002 0 22 2
400 20.000000 1002 0 22 2
400 25.000000 1005 0 19 2
400 30.000000 995 0 29 2
400 35.000000 1005 0 19 2
400 40.000000 1010 0 14 2
400 45.000000 1002 0 22 2
400 50.000000 1007 0 17 2
450 0.000000 0 0 1024 0
450 5.000000 999 0 25 2
450 10.000000 1006 0 18 2
450 15.000000 1004 0 20 2
450 20.000000 1005 0 19 2
450 25.000000 1009 0 15 2
450 30.000000 991 0 33 2
450 35.000000 1002 0 22 2
450 40.000000 993 0 31 2
450 45.000000 996 0 28 2
450 50.000000 1004 0 20 2
500 0.000000 0 0 1024 0
500 5.000000 275 0 749 2
500 10.000000 458 0 566 2
500 15.000000 650 0 374 2
500 20.000000 855 0 169 2
500 25.000000 947 0 77 2
500 30.000000 925 0 99 2
500 35.000000 994 0 30 2
500 40.000000 971 0 53 2
500 45.000000 1002 0 22 2
500 50.000000 996 0 28 2
550 0.000000 0 0 1024 0
550 5.000000 1007 0 17 2
550 10.000000 996 0 28 2
550 15.000000 1008 0 16 2
550 20.000000 1001 0 23 2
550 25.000000 999 0 25 2
550 30.000000 1000 0 24 2
550 35.000000 1007 0 17 2
550 40.000000 1000 0 24 2
550 45.000000 1010 0 14 2
550 50.000000 999 0 25 2
600 0.000000 0 0 1024 0
600 5.000000 1005 0 19 2
600 10.000000 996 0 28 2
600 15.000000 995 0 29 2
600 20.000000 1004 0 20 2
600 25.000000 1005 0 19 2
600 30.000000 1006 0 18 2
600 35.000000 1004 0 20 2
600 40.000000 998 0 26 2
600 45.000000 1004 0 20 2
600 50.000000 1008 0 16 2
650 0.000000 0 0 1024 0
650 5.000000 1012 0 12 2
650 10.000000 1002 0 22 2
650 15.000000 1009 0 15 2
650 20.000000 1009 0 15 2
650 25.000000 1009 0 15 2
650 30.000000 1003 0 21 2
650 35.000000 997 0 27 2
650 40.000000 1010 0 14 2
650 45.000000 1006 0 18 2
650 50.000000 1003 0 21 2
700 0.000000 0 0 1024 0
700 5.000000 0 0 1024 0
700 10.000000 1008 0 16 2
700 15.000000 999 0 25 2
700 20.000000 996 0 28 2
700 25.000000 997 0 27 2
700 30.000000 991 0 33 2
700 35.000000 1006 0 18 2
700 40.000000 1002 0 22 2
700 45.000000 1012 0 12 2
700 50.000000 1005 0 19 2
750 0.000000 0 0 1024 0
750 5.000000 0 0 1024 0
750 10.000000 1000 0 24 2
750 15.000000 1006 0 18 2
750 20.000000 1010 0 14 2
750 25.000000 1011 0 13 2
750 30.000000 995 0 29 2
750 35.000000 1001 0 23 2
750 40.000000 1000 0 24 2
750 45.000000 1005 0 19 2
750 50.000000 1000 0 24 2
800 0.000000 0 0 1024 0
800 5.000000 0 0 1024 0
800 10.000000 0 0 1024 0
800 15.000000 0 0 1024 0
800 20.000000 0 0 1024 0
800 25.000000 998 0 26 2
800 30.000000 1007 0 17 2
800 35.000000 0 0 1024 0
800 40.000000 996 0 28 2
800 45.000000 1008 0 16 2
800 50.000000 1001 0 23 2
850 0.000000 0 0 1024 0
850 5.000000 0 0 1024 0
850 10.000000 0 0 1024 0
850 15.000000 0 0 1024 0
850 20.000000 0 0 1024 0
850 25.000000 0 0 1024 0
850 30.000000 0 0 1024 0
850 35.000000 0 0 1024 0
850 40.000000 105 0 919 2
850 45.000000 0 0 1024 0
850 50.000000 0 0 1024 0
900 0.000000 0 0 1024 0
900 5.000000 0 0 1024 0
900 10.000000 0 0 1024 0
900 15.000000 0 0 1024 0
900 20.000000 0 0 1024 0
900 25.000000 0 0 1024 0
900 30.000000 0 0 1024 0
900 35.000000 0 0 1024 0
900 40.000000 0 0 1024 0
900 45.000000 0 0 1024 0
900 50.000000 0 0 1024 0
950 0.000000 0 0 1024 0
950 5.000000 0 0 1024 0
950 10.000000 0 0 1024 0
950 15.000000 0 0 1024 0
950 20.000000 0 0 1024 0
950 25.000000 0 0 1024 0
950 30.000000 0 0 1024 0
950 35.000000 0 0 1024 0
950 40.000000 0 0 1024 0
950 45.000000 0 0 1024 0
950 50.000000 0 0 1024 0
1000 0.000000 0 0 1024 0
1000 5.000000 0 0 1024 0
1000 10.000000 0 0 1024 0
1000 15.000000 0 0 1024 0
1000 20.000000 0 0 1024 0
1000 25.000000 0 0 1024 0
1000 30.000000 0 0 1024 0
1000 35.000000 0 0 1024 0
1000 40.000000 0 0 1024 0
1000 45.000000 0 0 1024 0
1000 50.000000 0 0 1024 0
1050 0.000000 0 0 1024 0
1050 5.000000 0 0 1024 0
1050 10.000000 0 0 1024 0
1050 15.000000 0 0 1024 0
1050 20.000000 0 0 1024 0
1050 25.000000 0 0 1024 0
1050 30.000000 0 0 1024 0
1050 35.000000 0 0 1024 0
1050 40.000000 0 0 1024 0
1050 45.000000 0 0 1024 0
1050 50.000000 0 0 1024 0
1100 0.000000 0 0 1024 0
1100 5.000000 0 0 1024 0
1100 10.000000 0 0 1024 0
1100 15.000000 0 0 1024 0
1100 20.000000 0 0 1024 0
1100 25.000000 0 0 1024 0
1100 30.000000 0 0 1024 0
1100 35.000000 0 0 1024 0
1100 40.000000 0 0 1024 0
1100 45.000000 0 0 1024 0
1100 50.000000 0 0 1024 0
1150 0.000000 0 0 1024 0
1150 5.000000 0 0 1024 0
1150 10.000000 0 0 1024 0
1150 15.000000 0 0 1024 0
1150 20.000000 0 0 1024 0
1150 25.000000 0 0 1024 0
1150 30.000000 0 0 1024 0
1150 35.000000 0 0 1024 0
1150 40.000000 0 0 1024 0
1150 45.000000 0 0 1024 0
1150 50.000000 0 0 1024 0
1200 0.000000 0 0 1024 0
1200 5.000000 0 0 1024 0
1200 10.000000 0 0 1024 0
1200 15.000000 0 0 1024 0
1200 20.000000 0 0 1024 0
1200 25.000000 0 0 1024 0
1200 30.000000 0 0 1024 0
1200 35.000000 0 0 1024 0
1200 40.000000 0 0 1024 0
1200 45.000000 0 0 1024 0
1200 50.000000 0 0 1024 0
1250 0.000000 0 0 1024 0
1250 5.000000 0 0 1024 0
1250 10.000000 0 0 1024 0
1250 15.000000 0 0 1024 0
1250 20.000000 0 0 1024 0
1250 25.000000 0 0 1024 0
1250 30.000000 0 0 1024 0
1250 35.000000 0 0 1024 0
1250 40.000000 0 0 1024 0
1250 45.000000 0 0 1024 0
