T A_init L S Dead Code 
50 0.000000 0 0 1024 0
50 5.000000 779 213 32 1
50 10.000000 749 244 31 1
50 15.000000 763 237 24 1
50 20.000000 787 210 27 1
50 25.000000 790 210 24 1
50 30.000000 817 186 21 1
50 35.000000 780 219 25 1
50 40.000000 778 221 25 1
50 45.000000 787 216 21 1
50 50.000000 772 223 29 1
100 0.000000 0 0 1024 0
100 5.000000 493 509 22 1
100 10.000000 507 499 18 1
100 15.000000 496 510 18 1
100 20.000000 482 517 25 1
100 25.000000 461 546 17 1
100 30.000000 508 504 12 1
100 35.000000 519 493 12 1
100 40.000000 483 522 19 1
100 45.000000 525 479 20 1
100 50.000000 532 470 22 1
150 0.000000 0 0 1024 0
150 5.000000 549 461 14 1
150 10.000000 591 407 26 1
150 15.000000 565 439 20 1
150 20.000000 557 438 29 1
150 25.000000 579 423 22 1
150 30.000000 559 437 28 1
150 35.000000 576 427 21 1
150 40.000000 576 423 25 1
150 45.000000 575 419 30 1
150 50.000000 579 426 19 1
200 0.000000 0 0 1024 0
200 5.000000 184 812 28 1
200 10.000000 187 816 21 1
200 15.000000 157 848 19 1
200 20.000000 171 837 16 1
200 25.000000 161 842 21 1
200 30.000000 189 815 20 1
200 35.000000 147 846 31 1
200 40.000000 171 828 25 1
200 45.000000 186 811 27 1
200 50.000000 176 828 20 1
250 0.000000 0 0 1024 0
250 5.000000 134 869 21 1
250 10.000000 128 869 27 1
250 15.000000 146 856 22 1
250 20.000000 121 881 22 1
250 25.000000 106 889 29 1
250 30.000000 94 906 24 1
250 35.000000 139 871 14 1
250 40.000000 113 889 22 1
250 45.000000 101 886 37 1
250 50.000000 134 868 22 1
300 0.000000 0 0 1024 0
300 5.000000 759 242 23 1
300 10.000000 752 254 18 1
300 15.000000 718 280 26 1
300 20.000000 733 273 18 1
300 25.000000 735 269 20 1
300 30.000000 690 316 18 1
300 35.000000 723 281 20 1
300 40.000000 756 244 24 1
300 45.000000 747 244 33 1
300 50.000000 719 283 22 1
350 0.000000 0 0 1024 0
350 5.000000 195 802 27 1
